Power Usage,Residuallast,Pumpspeicher,Wind Offshore,Wind Onshore,Photovoltaik
47660,39739,2284,616,7306,0
46362,38535,2295,595,7231,0
45651,37899,2127,570,7182,0
45438,37991,2049,562,6885,0
44816,37696,1899,506,6614,0
43694,37023,1864,471,6201,0
45505,39073,789,459,5974,0
48261,42123,363,463,5550,126
52247,45908,15,428,5185,727
55736,49570,74,393,4385,1387
58475,52208,240,329,3922,2016
58083,51795,305,297,3675,2317
56087,50229,452,246,3369,2242
54587,49600,229,214,3082,1692
53925,49995,76,151,2903,877
54693,51471,287,122,2923,177
59517,56532,78,94,2882,9
61442,58484,22,105,2854,0
60020,57086,141,156,2778,0
57419,54526,387,231,2663,0
55928,53190,415,291,2447,0
56298,53644,151,312,2343,0
53534,50823,394,375,2337,0
50386,47343,1579,440,2603,0
48471,45045,2234,490,2936,0
47894,44063,2314,554,3277,0
48227,43943,2493,605,3680,0
49867,45039,2303,633,4196,0
53871,48585,2148,646,4641,0
62976,57110,813,656,5210,0
70361,63780,160,634,5947,1
73186,65911,30,651,6484,141
73456,65053,29,677,7184,542
74965,65364,28,675,7825,1103
76078,65262,24,556,8488,1772
75799,63730,7,585,9234,2251
75245,62668,8,619,9709,2249
74056,61918,12,649,9905,1584
73081,61373,6,559,10359,791
72521,60646,4,544,11174,157
75099,62244,26,578,12270,7
75139,61297,155,623,13219,0
73289,59300,97,634,13355,0
69117,55389,181,611,13117,0
65810,52413,213,601,12796,0
63160,49449,505,598,13114,0
58958,44213,992,613,14133,0
55467,40114,1324,642,14711,0
53437,37915,2544,644,14878,0
52363,36822,2326,639,14902,0
52438,37237,2582,644,14558,0
53424,38244,3116,641,14538,0
56575,41443,3228,634,14499,0
64285,49342,1115,624,14318,0
71255,56293,121,634,14327,0
72942,58532,60,629,13642,139
72861,59023,60,607,12199,1033
73910,59177,56,626,11885,2223
74829,59306,47,618,11595,3310
74470,58576,116,576,11596,3723
73936,59101,75,495,11132,3209
72745,58913,43,319,11176,2338
71815,60009,10,270,10242,1294
70877,61526,160,209,8850,292
73730,65874,12,192,7653,12
74467,66822,5,216,7430,0
72756,65307,82,189,7261,0
68555,61683,110,203,6669,0
65078,58468,15,226,6384,0
62191,55615,157,265,6311,0
57843,51640,820,392,5811,0
54395,48107,1262,482,5806,0
52171,46098,2252,480,5593,0
51105,44922,1803,561,5622,0
51295,44622,3009,605,6068,0
52760,45304,3029,601,6855,0
56071,47573,2032,610,7889,0
63784,54043,658,622,9119,0
71087,59783,96,623,10680,0
73398,60485,9,625,12146,143
73658,58156,11,654,13949,900
74945,56525,19,596,15928,1896
76137,54439,51,678,18173,2847
76013,51480,370,661,20427,3445
75581,49181,374,662,22437,3302
74436,47380,252,622,23996,2438
74120,47348,243,405,25067,1299
73735,46738,350,409,26289,299
76354,49189,90,394,26759,12
76750,49669,62,441,26641,0
74495,48296,163,597,25603,0
70193,44212,496,585,25396,0
67063,41536,1059,588,24939,0
64078,39545,197,609,23923,0
59790,36367,542,606,22817,0
53906,31754,1398,603,21549,0
51825,30135,3498,599,21092,0
50348,29168,3040,585,20595,0
50897,30137,2602,566,20193,0
52200,31592,3389,584,20024,0
54951,34274,3007,581,20097,0
63922,42822,1318,527,20573,0
71799,50181,142,455,21163,1
73853,51638,326,474,21365,375
74615,50588,209,528,21158,2341
76227,50058,366,571,21404,4195
76603,49847,127,573,20901,5282
75680,48839,426,598,20741,5502
74802,50012,244,615,19458,4717
73786,52198,17,569,17702,3318
72487,54952,16,503,15341,1691
71337,57315,5,476,13198,349
74190,61584,32,393,12199,13
75069,63102,23,359,11608,0
73280,62399,2,211,10670,0
68737,58753,19,235,9750,0
65274,56102,35,162,9010,0
62537,54027,621,105,8404,0
58265,50495,1604,89,7681,0
54262,48534,1725,66,5663,0
52002,47066,2778,69,4868,0
51501,47525,3082,39,3936,0
51728,48337,3526,36,3355,0
52828,49614,3423,42,3172,0
55583,52577,2723,9,2998,0
63040,60057,1383,6,2978,0
70066,67228,208,6,2832,1
72363,69100,99,2,3124,137
72845,68705,19,1,3399,740
73708,68249,58,2,3908,1550
74214,67816,59,5,4157,2236
73330,66573,120,12,4046,2699
71858,64938,78,31,4281,2607
70183,63796,61,45,4242,2101
68766,63860,412,101,3692,1114
68707,64935,214,100,3406,267
72250,69028,63,79,3131,12
73189,69883,61,135,3171,0
70911,67299,63,164,3448,0
66837,63007,296,180,3650,0
63363,59290,291,188,3885,0
61390,57462,352,167,3761,0
57927,54155,648,133,3639,0
53975,49038,748,105,4833,0
51582,46563,1814,97,4922,0
50299,44821,2152,89,5389,0
49653,43652,2232,93,5909,0
49567,43105,2199,111,6352,0
48964,42462,2048,116,6387,0
49306,43064,1653,83,6159,0
52621,46594,889,63,5963,1
56547,50561,98,100,5734,152
59685,53229,33,80,5614,761
61465,54124,74,95,5400,1847
62436,54016,102,84,5168,3168
61658,52641,92,63,5018,3936
59712,50486,158,73,4950,4204
58297,49850,268,76,4807,3565
57319,50522,119,73,4691,2033
57369,52293,102,52,4501,524
61381,56632,172,62,4666,21
63313,58103,12,76,5134,0
61081,55455,68,73,5553,0
57359,51308,124,78,5973,0
55087,48777,550,82,6228,0
54626,48429,316,74,6123,0
51832,45910,722,78,5844,0
49143,43539,2150,70,5535,0
46991,41795,1814,61,5136,0
45673,40819,1433,59,4795,0
45129,40843,1550,63,4223,0
44818,40813,1575,69,3937,0
44183,40303,1533,57,3823,0
43152,39302,1545,55,3796,0
45096,41236,940,61,3796,3
48226,44180,988,60,3629,356
51826,46578,174,72,3404,1772
54417,47729,334,128,3136,3424
57138,49351,44,236,3180,4372
56906,48757,143,341,3071,4738
55021,46888,454,396,3372,4366
53588,46062,462,297,3919,3310
53182,46732,383,410,4155,1885
53331,47649,234,417,4825,440
57639,51738,179,459,5426,17
60715,54319,114,472,5924,0
59840,52683,324,474,6683,0
57449,50050,384,479,6919,0
56172,48793,763,470,6909,0
56644,48961,1005,445,7239,0
54081,46491,1692,357,7234,0
51777,44426,1735,300,7052,0
50100,42768,1702,323,7009,0
49372,42322,1794,301,6749,0
49631,42160,2534,386,7085,0
51403,43284,1844,412,7708,0
55131,46765,2237,427,7940,0
63715,55160,1197,339,8216,0
70960,61726,105,318,8914,3
73001,63450,185,286,8985,280
73869,63436,174,342,8745,1346
74846,63229,285,423,8601,2594
76135,63640,98,422,8696,3379
75546,61858,90,343,9437,3908
74598,61153,60,302,9349,3794
73576,61550,58,301,8884,2841
72652,62621,54,308,8100,1624
71644,63443,41,302,7420,479
74324,66662,105,372,7270,21
75693,68273,103,376,7044,0
74021,66304,92,432,7285,0
69889,62050,281,347,7492,0
66684,58913,540,291,7480,0
64148,56476,588,250,7422,0
59816,52642,780,251,6924,0
56798,50000,1176,319,6479,0
54734,48265,1956,301,6168,0
54088,47709,2784,300,6079,0
54271,47817,2986,298,6156,0
55404,49110,3154,243,6051,0
58084,52216,1872,173,5695,0
65377,59749,648,157,5471,0
71863,66819,54,145,4895,4
74086,69266,37,129,4344,347
74180,68846,38,121,3792,1421
74959,68450,33,185,3549,2776
75520,67627,51,270,3402,4221
75046,66138,449,386,3341,5181
74039,65352,648,410,3115,5163
72812,65055,753,432,2888,4439
72010,65519,341,474,3092,2926
71059,66784,126,413,2855,1008
74158,70832,148,539,2744,43
76265,73166,41,464,2635,0
74434,71611,40,375,2449,0
70328,67640,51,360,2328,0
66734,64255,206,420,2059,0
64268,61823,298,359,2087,0
60400,57929,433,314,2158,0
57093,54558,1318,242,2293,0
54933,52595,2205,174,2164,0
53901,51806,3038,84,2011,0
54007,51897,3263,53,2057,0
54984,52812,1933,81,2091,0
58029,55852,1644,116,2061,0
65607,63456,733,122,2029,0
72259,70240,3,94,1918,8
74128,71734,2,81,1853,461
74521,71085,2,66,1521,1850
75234,70219,6,58,1372,3585
75855,69179,7,64,1408,5205
75087,67573,51,69,1410,6035
74433,66788,41,78,1585,5982
73233,66365,93,74,1896,4898
72356,67424,140,63,1898,2971
71599,68969,44,62,1649,920
74464,72806,99,150,1470,38
76581,75094,61,165,1323,0
74731,73399,60,180,1152,0
70484,69287,82,138,1059,0
67151,66001,401,193,957,0
64886,63833,806,178,875,0
60763,59762,640,192,810,0
57167,56050,1640,234,884,0
55020,53779,1712,262,979,0
53805,52444,2335,298,1063,0
53742,52241,2505,394,1106,0
54674,52900,2031,360,1415,0
57857,55839,1191,387,1631,0
65197,63122,335,355,1721,0
72069,69871,94,369,1821,8
74246,71329,62,409,2029,479
74521,70321,2,317,2163,1720
75101,68953,2,298,2410,3440
75457,67366,94,285,2921,4886
74942,65428,30,204,3527,5784
74753,64602,42,160,4467,5524
73141,63598,32,153,5307,4084
72559,64038,24,141,6016,2366
71717,64423,25,141,6445,709
74186,66547,5,129,7471,40
76053,67108,12,160,8786,0
74525,64615,10,126,9785,0
70336,60036,171,126,10175,0
66976,56654,480,114,10208,0
64653,54344,862,94,10216,0
60827,50353,2262,89,10385,0
57054,46948,1810,98,10008,0
55037,45212,2400,104,9721,0
54173,44520,2519,120,9533,0
54345,45059,2637,113,9174,0
55150,45811,3043,100,9239,0
57862,48731,1667,82,9049,0
65207,56414,777,75,8719,0
71984,63422,20,48,8504,9
74073,65599,11,23,7926,526
74376,64510,16,12,7539,2316
74847,63145,22,8,6911,4784
75033,60918,123,3,6869,7243
73684,58266,157,7,6705,8706
71882,56381,569,13,6663,8826
70126,56059,266,19,6566,7483
69579,58122,290,31,6637,4789
69023,60858,121,51,6528,1586
71926,65426,6,65,6360,75
74269,68302,7,79,5888,0
72197,66550,5,100,5547,0
68024,62724,40,125,5176,0
64730,59770,378,147,4814,0
63010,58374,39,146,4490,0
59715,55304,121,178,4233,0
